title,url
#1,https://ojs.aaai.org/index.php/AAAI/article/view/31974
Real-Time Calibration Model for Low-Cost Sensor in Fine-Grained Time Series,https://papers.cool/venue/31974@AAAI
Seokho Ahn,https://www.google.com/search?q=Seokho Ahn
Hyungjin Kim,https://www.google.com/search?q=Hyungjin Kim
Sungbok Shin,https://www.google.com/search?q=Sungbok Shin
Young-Duk Seo,https://www.google.com/search?q=Young-Duk Seo
AAAI.2025 - Application Domains,https://papers.cool/venue/AAAI.2025?group=Application Domains
#2,https://ojs.aaai.org/index.php/AAAI/article/view/31975
BayesCNS: A Unified Bayesian Approach to Address Cold Start and Non-Stationarity in Search Systems at Scale,https://papers.cool/venue/31975@AAAI
Randy Ardywibowo,https://www.google.com/search?q=Randy Ardywibowo
Rakesh Sunki,https://www.google.com/search?q=Rakesh Sunki
Shin Tsz Lucy Kuo,https://www.google.com/search?q=Shin Tsz Lucy Kuo
Sankalp Nayak,https://www.google.com/search?q=Sankalp Nayak
#3,https://ojs.aaai.org/index.php/AAAI/article/view/31976
Scalable Surrogate Verification of Image-Based Neural Network Control Systems Using Composition and Unrolling,https://papers.cool/venue/31976@AAAI
Feiyang Cai,https://www.google.com/search?q=Feiyang Cai
Chuchu Fan,https://www.google.com/search?q=Chuchu Fan
Stanley Bak,https://www.google.com/search?q=Stanley Bak
#4,https://ojs.aaai.org/index.php/AAAI/article/view/31977
External Reliable Information-enhanced Multimodal Contrastive Learning for Fake News Detection,https://papers.cool/venue/31977@AAAI
Biwei Cao,https://www.google.com/search?q=Biwei Cao
Qihang Wu,https://www.google.com/search?q=Qihang Wu
Jiuxin Cao,https://www.google.com/search?q=Jiuxin Cao
Bo Liu,https://www.google.com/search?q=Bo Liu
Jie Gui,https://www.google.com/search?q=Jie Gui
#5,https://ojs.aaai.org/index.php/AAAI/article/view/31978
Holistic Semantic Representation for Navigational Trajectory Generation,https://papers.cool/venue/31978@AAAI
Ji Cao,https://www.google.com/search?q=Ji Cao
Tongya Zheng,https://www.google.com/search?q=Tongya Zheng
Qinghong Guo,https://www.google.com/search?q=Qinghong Guo
Yu Wang,https://www.google.com/search?q=Yu Wang
Junshu Dai,https://www.google.com/search?q=Junshu Dai
Shunyu Liu,https://www.google.com/search?q=Shunyu Liu
Jie Yang,https://www.google.com/search?q=Jie Yang
Jie Song,https://www.google.com/search?q=Jie Song
Mingli Song,https://www.google.com/search?q=Mingli Song
#6,https://ojs.aaai.org/index.php/AAAI/article/view/31979
SQLFixAgent: Towards Semantic-Accurate Text-to-SQL Parsing via Consistency-Enhanced Multi-Agent Collaboration,https://papers.cool/venue/31979@AAAI
Jipeng Cen,https://www.google.com/search?q=Jipeng Cen
Jiaxin Liu,https://www.google.com/search?q=Jiaxin Liu
Zhixu Li,https://www.google.com/search?q=Zhixu Li
Jingjing Wang,https://www.google.com/search?q=Jingjing Wang
#7,https://ojs.aaai.org/index.php/AAAI/article/view/31980
mmFAS: Multimodal Face Anti-Spoofing Using Multi-Level Alignment and Switch-Attention Fusion,https://papers.cool/venue/31980@AAAI
Geng Chen,https://www.google.com/search?q=Geng Chen
Wuyuan Xie,https://www.google.com/search?q=Wuyuan Xie
Di Lin,https://www.google.com/search?q=Di Lin
Ye Liu,https://www.google.com/search?q=Ye Liu
Miaohui Wang,https://www.google.com/search?q=Miaohui Wang
#8,https://ojs.aaai.org/index.php/AAAI/article/view/31981
CLEP: A Novel Contrastive Learning Method for Evolutionary Reentrancy Vulnerability Detection,https://papers.cool/venue/31981@AAAI
Jie Chen,https://www.google.com/search?q=Jie Chen
Liangmin Wang,https://www.google.com/search?q=Liangmin Wang
Huijuan Zhu,https://www.google.com/search?q=Huijuan Zhu
Victor S. Sheng,https://www.google.com/search?q=Victor S. Sheng
#9,https://ojs.aaai.org/index.php/AAAI/article/view/31982
GLCF: A Global-Local Multimodal Coherence Analysis Framework for Talking Face Generation Detection,https://papers.cool/venue/31982@AAAI
Xiaocan Chen,https://www.google.com/search?q=Xiaocan Chen
Qilin Yin,https://www.google.com/search?q=Qilin Yin
Jiarui Liu,https://www.google.com/search?q=Jiarui Liu
Wei Lu,https://www.google.com/search?q=Wei Lu
Xiangyang Luo,https://www.google.com/search?q=Xiangyang Luo
Jiantao Zhou,https://www.google.com/search?q=Jiantao Zhou
#10,https://ojs.aaai.org/index.php/AAAI/article/view/31983
ReactGPT: Understanding of Chemical Reactions via In-Context Tuning,https://papers.cool/venue/31983@AAAI
Zhe Chen,https://www.google.com/search?q=Zhe Chen
Zhe Fang,https://www.google.com/search?q=Zhe Fang
Wenhao Tian,https://www.google.com/search?q=Wenhao Tian
Zhaoguang Long,https://www.google.com/search?q=Zhaoguang Long
Changzhi Sun,https://www.google.com/search?q=Changzhi Sun
Yuefeng Chen,https://www.google.com/search?q=Yuefeng Chen
Hao Yuan,https://www.google.com/search?q=Hao Yuan
Honglin Li,https://www.google.com/search?q=Honglin Li
Man Lan,https://www.google.com/search?q=Man Lan
#11,https://ojs.aaai.org/index.php/AAAI/article/view/31984
4D Diffusion for Dynamic Protein Structure Prediction with Reference and Motion Guidance,https://papers.cool/venue/31984@AAAI
Kaihui Cheng,https://www.google.com/search?q=Kaihui Cheng
Ce Liu,https://www.google.com/search?q=Ce Liu
Qingkun Su,https://www.google.com/search?q=Qingkun Su
Jun Wang,https://www.google.com/search?q=Jun Wang
Liwei Zhang,https://www.google.com/search?q=Liwei Zhang
Yining Tang,https://www.google.com/search?q=Yining Tang
Yao Yao,https://www.google.com/search?q=Yao Yao
Siyu Zhu,https://www.google.com/search?q=Siyu Zhu
Yuan Qi,https://www.google.com/search?q=Yuan Qi
#12,https://ojs.aaai.org/index.php/AAAI/article/view/31985
G2LDetect: A Global-to-Local Approach for Hallucination Detection,https://papers.cool/venue/31985@AAAI
Xiaoxia Cheng,https://www.google.com/search?q=Xiaoxia Cheng
Zeqi Tan,https://www.google.com/search?q=Zeqi Tan
Zhe Zheng,https://www.google.com/search?q=Zhe Zheng
Weiming Lu,https://www.google.com/search?q=Weiming Lu
#13,https://ojs.aaai.org/index.php/AAAI/article/view/31986
3D Denoisers Are Good 2D Teachers: Molecular Pretraining via Denoising and Cross-Modal Distillation,https://papers.cool/venue/31986@AAAI
Sungjun Cho,https://www.google.com/search?q=Sungjun Cho
Dae-Woong Jeong,https://www.google.com/search?q=Dae-Woong Jeong
Sung Moon Ko,https://www.google.com/search?q=Sung Moon Ko
Jinwoo Kim,https://www.google.com/search?q=Jinwoo Kim
Sehui Han,https://www.google.com/search?q=Sehui Han
Seunghoon Hong,https://www.google.com/search?q=Seunghoon Hong
Honglak Lee,https://www.google.com/search?q=Honglak Lee
Moontae Lee,https://www.google.com/search?q=Moontae Lee
#14,https://ojs.aaai.org/index.php/AAAI/article/view/31987
CryoDomain: Sequence-free Protein Domain Identification from Low-resolution Cryo-EM Density Maps,https://papers.cool/venue/31987@AAAI
Muzhi Dai,https://www.google.com/search?q=Muzhi Dai
Zhuoer Dong,https://www.google.com/search?q=Zhuoer Dong
Weining Fu,https://www.google.com/search?q=Weining Fu
Kui Xu,https://www.google.com/search?q=Kui Xu
Qiangfeng Cliff Zhang,https://www.google.com/search?q=Qiangfeng Cliff Zhang
#15,https://ojs.aaai.org/index.php/AAAI/article/view/31988
Less Is More: Adaptive Program Repair with Bug Localization and Preference Learning,https://papers.cool/venue/31988@AAAI
Zhenlong Dai,https://www.google.com/search?q=Zhenlong Dai
Bingrui Chen,https://www.google.com/search?q=Bingrui Chen
Zhuoluo Zhao,https://www.google.com/search?q=Zhuoluo Zhao
Xiu Tang,https://www.google.com/search?q=Xiu Tang
Sai Wu,https://www.google.com/search?q=Sai Wu
Chang Yao,https://www.google.com/search?q=Chang Yao
Zhipeng Gao,https://www.google.com/search?q=Zhipeng Gao
Jingyuan Chen,https://www.google.com/search?q=Jingyuan Chen
#16,https://ojs.aaai.org/index.php/AAAI/article/view/31989
Improving Cancer Gene Prediction by Enhancing Common Information Between the PPI Network and Gene Functional Association,https://papers.cool/venue/31989@AAAI
Chao Deng,https://www.google.com/search?q=Chao Deng
Hongdong Li,https://www.google.com/search?q=Hongdong Li
Jianxin Wang,https://www.google.com/search?q=Jianxin Wang
#17,https://ojs.aaai.org/index.php/AAAI/article/view/31990
AutoSciLab: A Self-Driving Laboratory for Interpretable Scientific Discovery,https://papers.cool/venue/31990@AAAI
