Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Is_Relevant,Relevance_Explanation,Key_Topics,Confidence,Analysis_Status,Search_Keyword,Scraped_At
"A systematic review of AI education in K-12 classrooms from 2018 to 2023: Topics, strategies, and learning outcomes",K Kwon,2024.0,113,"SJ Lee, K Kwon",https://www.sciencedirect.com/science/article/pii/S2666920X24000122,"… the importance of AI education in K-12 schools. However, … of AI education in classrooms. This systematic review aimed to provide an overview of the current state of AI education in K-12 …",0.95,True,"The paper directly focuses on AI education in K-12 classrooms, aligning perfectly with all three keyword components through its systematic review of topics, strategies, and outcomes.",AI curriculum integration; K-12 pedagogical strategies; learning outcome assessment; systematic review methodology; classroom implementation,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528507
A holistic approach to the design of artificial intelligence (AI) education for K-12 schools,TKF Chiu,2021.0,301,TKF Chiu,https://link.springer.com/article/10.1007/s11528-021-00637-1,"… key components: AI knowledge, AI processes, the impact of AI (… proposes a holistic approach to design AI K-12 curriculum. … how to design AI education for K-12 classrooms by applying …",0.95,True,"The paper directly focuses on designing AI education curricula specifically for K-12 schools, with explicit mentions of AI knowledge, processes, and classroom applications.",K-12 AI curriculum design; AI knowledge components; AI education implementation; Holistic educational approach; Classroom application strategies,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528521
K-12 Education in the Age of AI: A Call to Action for K-12 AI Literacy,N Wang; J Lester,2023.0,101,"N Wang, J Lester",https://link.springer.com/article/10.1007/s40593-023-00358-x,"… re-envision K-12 education to prepare for the reality that AI will be … K-12 education in the Age of AI must cultivate students’ AI literacy, … AI literacy is the ability to readily engage with AI by …",0.95,True,"The paper directly addresses K-12 education in the context of AI, focusing on AI literacy as a core educational objective, which aligns perfectly with all three keywords.",K-12 AI literacy; AI integration in education; curriculum re-envisioning; student engagement with AI; preparation for AI-driven future,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528528
A year in K–12 AI education,D Touretzky; C Gardner‐McCune; C Breazeal,2019.0,155,"D Touretzky, C Gardner‐McCune, C Breazeal…",https://onlinelibrary.wiley.com/doi/abs/10.1609/aimag.v40i4.5289,"… AI, we want to foster a diverse population of AI developers. In this context, we need to engage students throughout their education … a new K–12 AI Education Community consisting of AI …",0.95,True,"The paper directly addresses K-12 AI education through community building and curriculum development, with explicit focus on engaging students throughout their education to foster AI developers.",K-12 AI curriculum; AI education community; student engagement in AI; diversity in AI development; educational outreach,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528532
A literature review of AI education for K-12,,2022.0,11,L Li,https://journalhosting.ucalgary.ca/index.php/cjnse/article/view/76563,"… the evolution of AI education for grades K-12. It provides context for … K12 students. As part of our research, this literature review investigates the evolution of AI education for grades K-12, …",0.95,True,"The paper directly focuses on AI education within K-12 settings, aligning perfectly with all components of the keyword by reviewing the evolution and context of AI education for grades K-12.",AI education evolution; K-12 curriculum integration; literature review methodology; educational context for AI; student learning in AI,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528536
"A systematic review of learning task design for K-12 AI education: Trends, challenges, and opportunities",,2024.0,49,"L Li, F Yu, E Zhang",https://www.sciencedirect.com/science/article/pii/S2666920X24000183,"This systematic review investigates learning task design for K-12 AI education, aiming to provide an overview of the status of AI education and identify trends, challenges, and …",0.95,True,"The paper directly focuses on K-12 AI education through a systematic review of learning task design, aligning perfectly with all three keyword components.",K-12 AI education; learning task design; systematic review; educational trends; pedagogical challenges,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528539
Contextualizing AI education for K-12 students to enhance their learning of AI literacy through culturally responsive approaches,A Eguchi; H Okada; Y Muto,2021.0,200,"A Eguchi, H Okada, Y Muto",https://link.springer.com/article/10.1007/s13218-021-00737-3,"… the issues around introducing AI in K-12 education in various countries have … of AI literacy in education is lagged behind in Japan, which has just laid out its computer science education. …",0.9,True,"The paper directly addresses AI integration in K-12 education, focusing on AI literacy and curriculum development, which aligns perfectly with the keyword's core themes.",AI literacy; K-12 curriculum; culturally responsive pedagogy; computer science education; international AI education implementation,0.95,success,"K12 education, AI, education",2025-08-31T00:41:48.528543
Artificial intelligence (AI) learning tools in K-12 education: A scoping review,J Su,2025.0,180,"IHY Yim, J Su",https://link.springer.com/article/10.1007/s40692-023-00304-9,"… is to provide a comprehensive K-12 education for learning tools, encompassing early childhood education and primary and secondary education. As the education systems of different …",0.95,True,"The paper directly focuses on AI learning tools within K-12 education, aligning perfectly with all components of the keyword.",AI learning tools; K-12 education systems; scoping review methodology; early childhood to secondary education; educational technology integration,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528546
"Artificial Intelligence and K-12 education: Possibilities, pedagogies and risks",W Holmes,2023.0,49,"J Mintz, W Holmes, L Liu…",https://www.tandfonline.com/doi/abs/10.1080/07380569.2023.2279870,"… by Artificial Intelligence in Education, and to begin with what do we mean by Artificial Intelligence… Since it was first proposed as a field of research in 1956, Artificial Intelligence (AI) has …",0.95,True,"The paper directly addresses the intersection of artificial intelligence and K-12 education, explicitly discussing possibilities, pedagogies, and risks within this specific educational context.",Artificial Intelligence in Education; K-12 pedagogical applications; AI implementation risks; Educational technology integration; AI ethics in schools,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528549
Pedagogical design of K-12 artificial intelligence education: A systematic review,MSY Jong; Y Dai,2022.0,142,"M Yue, MSY Jong, Y Dai",https://www.mdpi.com/2071-1050/14/23/15620,… to the K-12 context as well. An … AI learning into K-12 education through playful experiences and approachable content to prepare children for an AI-saturated world and future AI-oriented …,0.95,True,"The paper directly focuses on integrating AI into K-12 education through pedagogical design, aligning perfectly with all three keywords in scope, methodology, and application.",K-12 AI curriculum design; pedagogical strategies for AI education; systematic review of AI in schools; playful learning approaches; future readiness for AI-saturated societies,0.98,success,"K12 education, AI, education",2025-08-31T00:41:48.528552
