Author,Total_Papers,Relevant_Papers,Relevance_Rate,Average_Relevance_Score,Total_Citations,Average_Citations_Per_Paper
TKF Chiu,20,19,0.95,0.8624999999999998,3795,189.75
IT Sanusi,12,12,1.0,0.9083333333333333,2040,170.0
H Vartiainen,12,12,1.0,0.8666666666666667,1402,116.83333333333333
J Su,11,11,1.0,0.8136363636363637,2846,258.72727272727275
DTK Ng,11,11,1.0,0.8590909090909092,4248,386.1818181818182
CS Chai,10,10,1.0,0.89,2361,236.1
S Ali,9,9,1.0,0.9111111111111112,1511,167.88888888888889
D DiPaola,8,8,1.0,0.9125000000000001,1481,185.125
W Holmes,8,8,1.0,0.8062499999999999,4834,604.25
I Lee,8,8,1.0,0.875,1922,240.25
Y Dai,7,7,1.0,0.9,1357,193.85714285714286
K Holstein,6,6,1.0,0.875,3067,511.1666666666667
J Kahila,6,6,1.0,0.8999999999999999,364,60.666666666666664
B Mott,6,6,1.0,0.8999999999999999,120,20.0
M Kandlhofer,6,6,1.0,0.8583333333333334,1177,196.16666666666666
M Tedre,6,6,1.0,0.7916666666666666,1294,215.66666666666666
M Milrad,6,6,1.0,0.9166666666666666,214,35.666666666666664
J Velander,6,6,1.0,0.9166666666666666,214,35.666666666666664
S Sentance,6,6,1.0,0.8666666666666667,164,27.333333333333332
SS Oyelere,6,6,1.0,0.8583333333333334,872,145.33333333333334
N Wang,6,6,1.0,0.9,150,25.0
A Eguchi,6,6,1.0,0.7166666666666667,1198,199.66666666666666
JKL Leung,5,5,1.0,0.8699999999999999,2827,565.4
H Crompton,7,5,0.7142857142857143,0.7000000000000001,2448,349.7142857142857
MSY Jong,5,5,1.0,0.9099999999999999,919,183.8
C Breazeal,5,5,1.0,0.9099999999999999,244,48.8
G Steinbauer,5,5,1.0,0.85,1175,235.0
K Glazewski,5,5,1.0,0.9199999999999999,46,9.2
YB Kafai,5,5,1.0,0.78,488,97.6
K Sperling,5,5,1.0,0.9,4,0.8
X Zhai,5,5,1.0,0.7999999999999999,384,76.8
R Romeike,5,5,1.0,0.8700000000000001,282,56.4
V Cateté,4,4,1.0,0.9,3,0.75
J Vandenberg,4,4,1.0,0.8875000000000001,1,0.25
X Tian,4,4,1.0,0.9,105,26.25
CP Rosé,4,4,1.0,0.9,15,3.75
L Mannila,4,4,1.0,0.9374999999999999,3,0.75
V Aleven,4,4,1.0,0.9125,725,181.25
H Jung,4,4,1.0,0.9125,361,90.25
IA Chounta,4,4,1.0,0.825,854,213.5
D Touretzky,4,4,1.0,0.9249999999999999,1144,286.0
PY Lin,4,4,1.0,0.9,777,194.25
J Kim,4,4,1.0,0.8875,858,214.5
SC Kong,5,4,0.8,0.63,1040,208.0
S Choi,5,4,0.8,0.8099999999999999,473,94.6
Q Xia,4,4,1.0,0.8250000000000001,582,145.5
M Cukurova,4,4,1.0,0.875,791,197.75
SKW Chu,4,4,1.0,0.7875,2373,593.25
N Otero,4,4,1.0,0.925,208,52.0
S Jiang,4,4,1.0,0.9,16,4.0
R Williams,4,4,1.0,0.9125,233,58.25
A Mohanty,4,3,0.75,0.625,733,183.25
A Lindner,3,3,1.0,0.8833333333333333,221,73.66666666666667
A Lin,3,3,1.0,0.8833333333333333,46,15.333333333333334
