Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Relevance_Explanation,Key_Topics,Confidence
Artificial intelligence applications in K-12 education: A systematic literature review,M Zafari; JS Bazargani; A Sadeghi-Niaraki,2022.0,188,"M Zafari, JS Bazargani, A Sadeghi-Niaraki…",https://ieeexplore.ieee.org/abstract/document/9785805/,"… In this systematic review, the integration of AI and k-12 education is being investigated in terms of the application of the proposed systems, the role and type of AI, and targeted course …",1.0,"The paper directly focuses on the integration of artificial intelligence in K-12 education, aligning perfectly with all components of the keyword.",AI applications in K-12; systematic literature review; AI role and types in education; targeted courses; educational technology integration,0.95
"A systematic review of AI education in K-12 classrooms from 2018 to 2023: Topics, strategies, and learning outcomes",K Kwon,2024.0,113,"SJ Lee, K Kwon",https://www.sciencedirect.com/science/article/pii/S2666920X24000122,"… the importance of AI education in K-12 schools. However, … of AI education in classrooms. This systematic review aimed to provide an overview of the current state of AI education in K-12 …",0.95,"The paper directly focuses on AI education in K-12 classrooms, aligning perfectly with all three keyword components through its systematic review of topics, strategies, and outcomes.",AI curriculum integration; K-12 pedagogical strategies; learning outcome assessment; systematic review methodology; classroom implementation,0.98
Co-designing lesson plans for supporting human-centred AI literacy in K-12 education,L Mannila; M Wingren,2025.0,0,"L Mannila, S Hägglund, M Wingren",https://link.springer.com/chapter/10.1007/978-3-031-93564-0_7,"… We argue that AI literacy in K-12 education plays an antecedent role in meeting the goals of HCAI. Educating young people about AI helps them better understand, use, and critique AI …",0.95,"The paper directly addresses AI literacy within K-12 education, explicitly focusing on curriculum design and human-centered AI education, which aligns perfectly with the keyword's components.",AI literacy; K-12 curriculum design; human-centered AI; lesson planning; educational technology integration,0.98
Bridging the gap: Preparing Delaware K-12 teachers for AI integration,,2024.0,2,M Kelso,https://search.proquest.com/openview/0eab4a062bf425a66cb41943e907ffe8/1?pq-origsite=gscholar&cbl=18750&diss=y,"… foundation for the effective and responsible use of AI technologies in K-12 education. … AI in education, this study aims to bridge the existing knowledge gap in Delaware’s K-12 education …",0.95,"The paper directly addresses AI integration in K-12 education, focusing on teacher preparation and responsible AI use, which aligns perfectly with the keyword's core themes.",AI integration in K-12; teacher professional development; responsible AI use; educational technology implementation; Delaware K-12 context,0.98
Principles for ai education for elementary grades students,A Ottenbreit-Leftwich; K Glazewski; M Jeon,2022.0,4,"A Ottenbreit-Leftwich, K Glazewski, M Jeon…",https://dl.acm.org/doi/abs/10.1145/3502717.3532143,"… AI is beginning to transform every aspect of society. With dramatic and accelerating advances in AI, it has become clear that introducing K-12 students to AI … core concepts of AI as early …",0.95,"The paper directly focuses on AI education for K-12 students, with explicit mention of elementary grades and core AI concepts, making it highly aligned with the keyword.",K-12 AI education; elementary school curriculum; AI core concepts; early childhood AI literacy; educational principles for AI,0.98
Artificial Intelligence Education and Inclusion in K-12.,Q Xia; TKF Chiu,2023.0,4,"Q Xia, TKF Chiu",https://eric.ed.gov/?id=ED634214,"… teachers about AI curriculum design. Accordingly, this paper presented an AI curriculum … improves students' perceived AI knowledge, attitudes, and motivation towards AI, as well as …",0.95,"The paper directly addresses AI curriculum design and its impact on students in K-12 education, aligning perfectly with all three keywords.",AI curriculum design; K-12 education inclusion; student AI knowledge and attitudes; teacher professional development; AI education motivation,0.98
Machine learning education in the K–12 Context,IT Sanusi,2023.0,21,IT Sanusi,https://erepo.uef.fi/bitstreams/13eeffc6-68c8-43c9-8a33-759700662d49/download,"… Ilkka Jormanainen for leading the AI/ML K-12 Education … This research centers around learning ML in K–12 education … overview of ML education within the K–12 domain, pedagogical …",0.95,"The paper directly focuses on AI/ML education within K-12 settings, aligning perfectly with the keyword's scope of K12 education, AI, and education.",Machine learning education; K-12 pedagogy; AI curriculum development; Educational technology integration; Learning outcomes in ML,0.98
Implementation of a Generative AI Assistant in K-12 Education: The CyberScholar Initiative,AKO Nascimento,2025.0,1,"V Castro, AKO Nascimento, R Zheldibayeva…",https://arxiv.org/abs/2502.19422,"… Abstract: This paper focuses on the piloting of CyberScholar, a Generative AI (GenAI) assistant tool that aims to provide feedback on writing K-12 contexts. The aim was to use GenAI to …",0.95,"The paper directly addresses the implementation of an AI tool (Generative AI) within K-12 education, specifically for writing feedback, aligning perfectly with all three keywords.",Generative AI in education; K-12 writing feedback; AI assistant implementation; Educational technology pilot; GenAI applications,0.98
Evaluation of an online intervention to teach artificial intelligence with learningml to 10-16-year-old students,JD Rodríguez-García; J Moreno-León,2021.0,118,"JD Rodríguez-García, J Moreno-León…",https://dl.acm.org/doi/abs/10.1145/3408877.3432393,"… teaching and learning of AI in K-12 environments. In addition, researchers and educators can make use of the new instrument we provide to evaluate future educational interventions. …",0.95,"The paper directly addresses teaching AI to K-12 students (ages 10-16) and provides an evaluation instrument for educational interventions, aligning perfectly with all three keywords.",K-12 AI education; online learning interventions; educational tool evaluation; student AI literacy; teaching methodology,0.98
Exploring the Dynamics of Scaffolding in K-12 ML/AI Education: Insights from a Machine Learning Workshop,I Jormanainen; H Vartiainen; J Kahila,2024.0,0,"I Jormanainen, H Vartiainen, J Kahila…",https://ieeexplore.ieee.org/abstract/document/10645837/,"… artificial intelligence (AI), more specifically machine learning (ML), to K-12 students using educational … tant for educators and technology developers in enhancing K-12 ML/AI education. …",0.95,"The paper directly focuses on AI/ML education in K-12 settings, with explicit alignment to all three keyword components through its examination of scaffolding methods in machine learning workshops for this educational level.",K-12 AI education; machine learning pedagogy; educational scaffolding; workshop-based learning; technology integration in classrooms,0.98
