Topic,Frequency,Rank
K-12 education,174,1
K-12 AI education,101,2
AI in education,96,3
AI literacy,88,4
educational technology,59,5
artificial intelligence in education,53,6
educational technology integration,49,7
AI in K-12 education,44,8
K12 education,37,9
AI education,29,10
artificial intelligence,28,11
computational thinking,28,12
generative AI,22,13
AI integration,21,14
teacher professional development,21,15
generative AI in education,19,16
systematic review,16,17
technology integration,16,18
K-12 curriculum integration,14,19
Educational technology integration,14,20
